consignment_agreement_id;borrower;issuer;enrollment_id;consigned_margin;valid_from;valid_to;status;trace_id;created_at;updated_at
54b1efb1-6405-435c-97da-1df39ba92539;a2835eb7-2f4f-4999-8d01-c2d1ec33afe8;INSS;ENR42498208;4620.31;29/12/2023;18/08/2026;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
2039eb96-82b0-4132-9bcf-4265bc8ec39f;23e3ad3b-ca0e-4f9e-af37-58f279a66384;INSS;ENR38787953;3100.01;01/04/2022;10/02/2027;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
be61d643-352b-4959-8253-2daa783504ff;da4ad186-5265-4430-8393-064eb86d22b8;Empresa Publica;ENR26308376;2415.59;24/10/2022;18/10/2027;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
24fa83ae-9ccc-436d-b934-c08d4dfb277a;4903fd43-6f66-491f-816b-ae8810fe1ec6;INSS;ENR99731393;1659.28;14/10/2021;12/12/2027;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
6ef504b4-1628-44e0-92ed-82108d45c2ba;04079191-d5a9-4bbe-98bb-d45e1ca55068;Empresa Publica;ENR44408962;805.65;07/11/2023;28/02/2025;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
02bfb2cd-14fb-4c96-8639-6a4176a61fe3;69648c01-45c7-4ef4-927e-67de95cf41e9;INSS;ENR16037642;1376.93;03/06/2023;11/07/2027;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
175b6bc8-b49e-4e5e-9249-4d2673191611;b3ac6ad3-8b28-48c6-9b09-52b04485d561;INSS;ENR43980783;3051.63;12/10/2021;01/02/2026;suspended;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
36be9621-33fb-4cba-9186-384f572a904d;b90e94f8-add9-4d24-9c0d-3b586a45a7e5;Empresa Publica;ENR89789887;2526.64;21/08/2020;06/03/2027;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
d0c2b26d-c617-46ea-8262-9cf6dfb08f82;59962a27-ce20-4189-ab83-7a392e1b198d;Estado;ENR23645979;1280.78;05/09/2020;03/04/2026;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
ad10edc0-e0b2-4875-a272-510732cf5d57;2176134e-a5fc-42c9-818a-f93aa82c06f7;Prefeitura;ENR66441779;4611.40;09/07/2022;26/06/2026;suspended;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
8db4ba84-1c0b-45ce-81bc-b0d0ab46a169;71c4da5a-e163-42ab-9182-cde2598c13ef;Prefeitura;ENR49256657;3059.30;23/05/2024;19/08/2026;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
5a33a3e8-33a9-478b-8e2f-969208154f86;edad6386-1037-4a19-a2ee-adfb6e606959;Estado;ENR87276951;5811.51;29/03/2022;10/02/2027;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
944c3412-f5ef-4e99-a8d6-1d39010ee403;2dc84690-aca8-42bd-94ae-1496ad4009d6;Empresa Publica;ENR34319941;3376.18;21/11/2022;06/10/2025;suspended;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
54f48b5f-8416-49fb-8bc8-43dd1dc3ba22;82a1919b-2c5a-497a-b31d-a00f9f0c72b8;Prefeitura;ENR61728965;3161.22;29/11/2024;06/05/2026;suspended;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
29352ebf-0e58-4799-abc8-c3844f539be1;2d583044-713d-45c6-a063-c87c3f606f02;INSS;ENR30523132;1569.13;20/12/2022;13/04/2027;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
858ff979-38c5-4160-a709-bb33b59fd34d;5f5232e1-16bc-44fb-bbad-62cae1c45fe3;Autarquia;ENR83249364;2397.88;31/01/2022;03/12/2025;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
3e13613f-b511-4fce-9ef2-439b5e3dc5ce;df3fd1f2-2b12-42fb-a161-cab80d8834c8;Estado;ENR95642370;3018.64;15/01/2023;21/11/2025;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
6671dac6-3e90-470d-920a-5f3d96b057ee;6e119bd4-7c76-46fc-b94a-4a216c0b646c;Autarquia;ENR12427591;2866.41;30/07/2022;01/11/2027;cancelled;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
