contract_id;offer;instrument;creditor_type;creditor_id;ccb_number;status;principal_amount;rate;term_months;schedule_policy;disbursement_policy;signature_bundle_id;document_links;debt_key;requester_identifier_key;signed_at;activated_at;closed_at;idempotency_key;external_reference;trace_id;created_at;updated_at
84334988-65f9-4d5b-9a8a-7e46d5c307ac;baf01fa7-db37-4e34-8f12-59b4534f9902;ccb;investor;446fd5c7-1be3-4b34-90b3-f3efd976543f;CCB-72705574;active;5733.00;0.020578;23;PRICE;pix_same_day;SIGN-84334988;"{""ccb_pdf"": ""http://files.example/84334988-65f9-4d5b-9a8a-7e46d5c307ac.pdf""}";DEBT-84334988;REQ-84334988;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-84334988;EXT-84334988;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
127c3e38-7542-4a5c-b035-b4746a918b09;bef18aee-1f25-4ea4-b6c5-daaa36ebddc7;ccb;investor;150160d6-f88b-4396-aaee-34e2a28459f5;CCB-87812971;active;6515.00;0.039057;11;PRICE;pix_same_day;SIGN-127c3e38;"{""ccb_pdf"": ""http://files.example/127c3e38-7542-4a5c-b035-b4746a918b09.pdf""}";DEBT-127c3e38;REQ-127c3e38;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-127c3e38;EXT-127c3e38;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
95d0a285-2fc1-403f-8c46-402ef804f56d;27262630-8adc-41f9-9e86-9dde729be3f6;ccb;investor;45936014-818d-4a81-a859-9a2f0589e316;CCB-20459940;active;6338.00;0.035817;13;PRICE;pix_same_day;SIGN-95d0a285;"{""ccb_pdf"": ""http://files.example/95d0a285-2fc1-403f-8c46-402ef804f56d.pdf""}";DEBT-95d0a285;REQ-95d0a285;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-95d0a285;EXT-95d0a285;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
2af868c2-bf01-49a9-a99a-b957cc3decb7;1d7f32ac-c810-4218-bc49-6ba8f0318121;ccb;investor;832c1bbe-e8f5-4c20-bbc7-d7d73a246d81;CCB-22253037;active;25283.00;0.037076;21;PRICE;pix_same_day;SIGN-2af868c2;"{""ccb_pdf"": ""http://files.example/2af868c2-bf01-49a9-a99a-b957cc3decb7.pdf""}";DEBT-2af868c2;REQ-2af868c2;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-2af868c2;EXT-2af868c2;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
30c996a4-122e-41f3-8ff2-903b2c5c6f08;d29e3492-8b91-4840-8f21-f09ba18d43cf;ccb;investor;e76e887f-d8c4-4797-b1d6-9404e7ee0f70;CCB-81652580;active;18036.00;0.030832;17;PRICE;pix_same_day;SIGN-30c996a4;"{""ccb_pdf"": ""http://files.example/30c996a4-122e-41f3-8ff2-903b2c5c6f08.pdf""}";DEBT-30c996a4;REQ-30c996a4;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-30c996a4;EXT-30c996a4;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
826edc65-8b20-4507-ae2c-bb97a7e741f8;7dd03647-fd1d-40c1-8fdb-217fe7864c51;ccb;investor;457dd73e-c268-43f0-ab05-84c407f2d765;CCB-49609954;active;7505.00;0.015702;11;PRICE;pix_same_day;SIGN-826edc65;"{""ccb_pdf"": ""http://files.example/826edc65-8b20-4507-ae2c-bb97a7e741f8.pdf""}";DEBT-826edc65;REQ-826edc65;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-826edc65;EXT-826edc65;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
dadf1a36-d552-4464-b741-9b2695b8eb89;e9d6b8c2-f1d0-4c4b-8b6c-2785abbe1c13;ccb;investor;521a38aa-3d70-4a36-896c-19212e943352;CCB-75525673;active;29979.00;0.032658;13;PRICE;pix_same_day;SIGN-dadf1a36;"{""ccb_pdf"": ""http://files.example/dadf1a36-d552-4464-b741-9b2695b8eb89.pdf""}";DEBT-dadf1a36;REQ-dadf1a36;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-dadf1a36;EXT-dadf1a36;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
3bed16de-3bed-49ed-9997-f13fbd104789;8d42e2a0-d5cc-4fb0-bb12-e98efe674b05;ccb;investor;aec451cb-e8d8-43ab-969a-92800f010b53;CCB-35200077;active;9952.00;0.033170;7;PRICE;pix_same_day;SIGN-3bed16de;"{""ccb_pdf"": ""http://files.example/3bed16de-3bed-49ed-9997-f13fbd104789.pdf""}";DEBT-3bed16de;REQ-3bed16de;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-3bed16de;EXT-3bed16de;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
44e96f74-4da7-42e0-8d41-4562672ccc53;37fd050f-723c-46f1-a50e-e94dbb0749cd;ccb;investor;4dbd6369-1438-4563-82c7-5142799485fc;CCB-65046253;active;6821.00;0.038093;20;PRICE;pix_same_day;SIGN-44e96f74;"{""ccb_pdf"": ""http://files.example/44e96f74-4da7-42e0-8d41-4562672ccc53.pdf""}";DEBT-44e96f74;REQ-44e96f74;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-44e96f74;EXT-44e96f74;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
8fa6ec34-6f08-46f9-9c60-edc9bde9d4a8;f457262e-9d44-445b-b5ec-83ee54895a6a;ccb;investor;fd9d897d-dbc9-4862-b485-71af66474f49;CCB-38351313;active;24205.00;0.021932;24;PRICE;pix_same_day;SIGN-8fa6ec34;"{""ccb_pdf"": ""http://files.example/8fa6ec34-6f08-46f9-9c60-edc9bde9d4a8.pdf""}";DEBT-8fa6ec34;REQ-8fa6ec34;2025-09-03T12:00:00;2025-09-04T12:00:00;;IK-8fa6ec34;EXT-8fa6ec34;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
