installment_id,contract,sequence,due_date,amount_due,principal_component,interest_component,fees_component,status,amount_paid,paid_at,carryover,installment_key,trace_id,created_at,updated_at
b74e2f27-0ac8-4cc7-821c-791b19b3d09c,84334988-65f9-4d5b-9a8a-7e46d5c307ac,1,2025-10-04,315.39,197.42,117.97,0.00,paid,315.39,2025-10-04T12:00:00,0.00,INS-b74e2f27,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
029b3027-4b85-4406-9bbd-c68c4485bd96,84334988-65f9-4d5b-9a8a-7e46d5c307ac,2,2025-11-04,315.39,201.48,113.91,0.00,pending,0.00,,0.00,INS-029b3027,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
cd3bebcf-9a80-4ce3-b5f1-9783582c2be2,84334988-65f9-4d5b-9a8a-7e46d5c307ac,3,2025-12-04,315.39,205.62,109.77,0.00,pending,0.00,,0.00,INS-cd3bebcf,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
077d8d2d-6756-4b76-b0d0-1752b835a18e,84334988-65f9-4d5b-9a8a-7e46d5c307ac,4,2026-01-04,315.39,209.86,105.53,0.00,pending,0.00,,0.00,INS-077d8d2d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
e70e131e-00dd-4084-8d90-b53d103c2ae1,84334988-65f9-4d5b-9a8a-7e46d5c307ac,5,2026-02-04,315.39,214.17,101.22,0.00,pending,0.00,,0.00,INS-e70e131e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
1f199115-5d26-4087-b5cb-ed42b8400aae,84334988-65f9-4d5b-9a8a-7e46d5c307ac,6,2026-03-04,315.39,218.58,96.81,0.00,pending,0.00,,0.00,INS-1f199115,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
f6a04b50-89e1-4d2c-ac8d-0ac7be9d2a04,84334988-65f9-4d5b-9a8a-7e46d5c307ac,7,2026-04-04,315.39,223.08,92.31,0.00,pending,0.00,,0.00,INS-f6a04b50,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
f910bf29-620f-46e7-9e7d-aee9d0323601,84334988-65f9-4d5b-9a8a-7e46d5c307ac,8,2026-05-04,315.39,227.67,87.72,0.00,pending,0.00,,0.00,INS-f910bf29,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
cd7115b4-a76d-492d-9686-7b44c29cff4f,84334988-65f9-4d5b-9a8a-7e46d5c307ac,9,2026-06-04,315.39,232.36,83.03,0.00,pending,0.00,,0.00,INS-cd7115b4,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
5068dd12-87b4-4e52-b962-5af119059b96,84334988-65f9-4d5b-9a8a-7e46d5c307ac,10,2026-07-04,315.39,237.14,78.25,0.00,pending,0.00,,0.00,INS-5068dd12,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
