offer_id,borrower,amount,rate,term_months,valid_until,status,cet,apr,fees,external_reference,trace_id,created_at,updated_at
baf01fa7-db37-4e34-8f12-59b4534f9902,8b1e1d16-8baf-49fc-99f7-4f808b79ee03,5733.00,0.020578,23,2025-10-22,open,0.022578,0.246936,{},PROP-baf01fa7,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
bef18aee-1f25-4ea4-b6c5-daaa36ebddc7,72fd0efe-4660-4899-b043-6a8ef2585291,6515.00,0.039057,11,2025-10-29,open,0.041057,0.468684,{},PROP-bef18aee,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
27262630-8adc-41f9-9e86-9dde729be3f6,55baeafc-cb82-40b0-8ddd-7e8d09d44f79,6338.00,0.035817,13,2025-11-10,open,0.037817,0.429804,{},PROP-27262630,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
eab541b5-cf27-4559-968c-fb11c94e277d,e94360b6-48ce-4d2e-a525-87e00490c168,15702.00,0.023859,22,2025-11-10,open,0.025859,0.286308,{},PROP-eab541b5,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
1d7f32ac-c810-4218-bc49-6ba8f0318121,6e5259f6-52cb-4ee0-a9e4-27dabf6e0a8f,25283.00,0.037076,21,2025-11-06,open,0.039076,0.444912,{},PROP-1d7f32ac,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
d29e3492-8b91-4840-8f21-f09ba18d43cf,cad3da50-b955-4485-967a-4a9441d6bcbf,18036.00,0.030832,17,2025-11-18,open,0.032832,0.369984,{},PROP-d29e3492,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
7dd03647-fd1d-40c1-8fdb-217fe7864c51,c95590ed-728c-4a1b-9e9c-8fd91e746501,7505.00,0.015702,11,2025-10-19,open,0.017702,0.188424,{},PROP-7dd03647,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
e9d6b8c2-f1d0-4c4b-8b6c-2785abbe1c13,6a145692-86e6-4137-8c50-7a457fb007e6,29979.00,0.032658,13,2025-11-10,open,0.034658,0.391896,{},PROP-e9d6b8c2,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
8d42e2a0-d5cc-4fb0-bb12-e98efe674b05,41102147-8527-4ea1-a8f8-f032ab2acf28,9952.00,0.033170,7,2025-10-30,open,0.035170,0.398040,{},PROP-8d42e2a0,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
37fd050f-723c-46f1-a50e-e94dbb0749cd,0099db62-56bf-4b44-a3f2-379248077cff,6821.00,0.038093,20,2025-11-12,open,0.040093,0.457116,{},PROP-37fd050f,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
f457262e-9d44-445b-b5ec-83ee54895a6a,16695e53-2027-429a-b71f-22a1d6922f5e,24205.00,0.021932,24,2025-11-13,open,0.023932,0.263184,{},PROP-f457262e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
d6dbeaf0-1bc1-49b6-be63-85db97226fba,dbe90a34-7f0c-41b5-8d18-e987b717cf9d,2436.00,0.042927,9,2025-11-02,open,0.044927,0.515124,{},PROP-d6dbeaf0,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
de2c8a54-c8e0-46bb-81c4-cff41da406ac,52866a31-fdc4-4ed4-817d-d1b4e0f34036,26513.00,0.015685,23,2025-10-09,open,0.017685,0.188220,{},PROP-de2c8a54,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
5508d650-6e87-494a-9823-580ad0bc820f,d50e810e-7f17-41b9-8ed7-a391cb283e95,28452.00,0.043311,6,2025-10-29,open,0.045311,0.519732,{},PROP-5508d650,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
6f221fe4-e13a-40ef-a19d-092366d8acab,a0bf84fc-3236-4455-96d6-7ca3fa3e6658,19426.00,0.034948,18,2025-11-03,open,0.036948,0.419376,{},PROP-6f221fe4,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
553e91f1-5665-4566-8098-5eccac817a20,780b57c2-10b6-4ba4-88a2-a1c7e1676b29,2119.00,0.029077,13,2025-10-20,open,0.031077,0.348924,{},PROP-553e91f1,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
4a1e6752-1ed2-4018-88b3-32b68e102577,34c593c7-b927-48c1-842b-80d08f596399,9819.00,0.039384,11,2025-11-11,open,0.041384,0.472608,{},PROP-4a1e6752,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
b17e5a5e-ee90-43b8-8bfb-6aacfa6a8f8d,4a8f0e93-b8a6-43a0-9461-8b70402c2667,5893.00,0.035461,10,2025-11-13,open,0.037461,0.425532,{},PROP-b17e5a5e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
7112ebd1-9f0e-4b62-ab52-b79d23b51de1,eb42c6fd-1323-4751-8479-5be889474974,24491.00,0.028886,23,2025-10-27,open,0.030886,0.346632,{},PROP-7112ebd1,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
ed53792e-f393-4241-a2cd-1d9ceaa555a2,38f78c62-3f3b-4dce-942a-9ac679db5e0d,24287.00,0.022676,19,2025-10-30,open,0.024676,0.272112,{},PROP-ed53792e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
b9022162-1ccc-49c5-882e-d91598e432b4,5d993a09-b23a-4e27-8741-6f243fe65e22,17352.00,0.020149,6,2025-11-09,open,0.022149,0.241788,{},PROP-b9022162,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
b5ed9174-3ee5-44eb-beb5-44b2866e0180,014fad59-6557-49d6-9f95-49fcc63bcbaf,13052.00,0.040301,6,2025-10-29,open,0.042301,0.483612,{},PROP-b5ed9174,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
a717476d-9403-4604-bbec-e68352b488ee,3c0ea30a-df3c-489f-b3b7-6759a5790484,29847.00,0.026442,8,2025-10-10,open,0.028442,0.317304,{},PROP-a717476d,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
9018740e-eb5f-4313-9906-3fb19280b08b,718493a4-c721-4d72-9154-35eae9105a19,8450.00,0.017776,10,2025-10-24,open,0.019776,0.213312,{},PROP-9018740e,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
8b2da736-24a4-4cc2-a9e7-f771eaee7ea6,91870b5d-449b-477c-a5e0-6b5438df4629,22921.00,0.035500,17,2025-10-30,open,0.037500,0.426000,{},PROP-8b2da736,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
