beneficio_ativo,tempo_beneficio_meses,emprego_ativo,tempo_emprego_meses,renda_media_6m,coef_var_renda,pct_meses_saldo_neg_6m,utilizacao_cartao,pct_minimo_pago_3m,num_faturas_vencidas_3m,endividamento_total,parcelas_renda,DPD_max_12m,idade,tempo_rel_banco_meses,default90,segmento,pd_true
1,123,0,0,2402.0,0.1191,0.0467,0.1373,0.1075,0,441.59,0.0063,5,63,391.0,0,INSS,0.0183
0,0,1,116,10270.74,0.0866,0.0713,0.4422,0.1546,0,3231.58,0.0103,9,62,276.0,0,Servidor,0.0152
0,0,1,25,3465.99,0.1849,0.0989,0.2268,0.1598,0,6485.47,0.0777,21,35,100.0,0,CLT,0.1332
0,0,0,0,5108.61,0.229,0.0,0.4937,0.1885,0,5666.69,0.0336,6,34,164.0,0,CLT,0.1427
0,0,1,90,10015.52,0.0095,0.1091,0.3204,0.1121,0,479.08,0.0032,13,22,41.0,0,Servidor,0.0211
0,0,1,136,8782.55,0.0862,0.0003,0.1545,0.0672,0,13663.88,0.0286,0,22,23.0,0,Servidor,0.016
0,0,1,47,6347.24,0.1866,0.2084,0.3058,0.0815,0,19379.94,0.1181,34,39,193.0,0,CLT,0.1625
1,201,0,0,2086.83,0.0796,0.0133,0.3288,0.0639,0,4755.03,0.2983,4,75,403.0,0,INSS,0.0205
0,0,1,29,1500.0,0.1464,0.2801,0.2986,0.3894,1,0.0,0.0,47,37,160.0,0,CLT,0.3334
0,0,0,0,1609.59,0.3569,0.2732,0.7073,0.3516,0,0.0,0.0,41,26,29.0,0,Informal,0.45
1,140,0,0,2431.02,0.0447,0.0,0.218,0.0897,0,1890.35,0.0165,3,69,389.0,0,INSS,0.0147
0,0,0,0,2073.43,0.5431,0.351,0.8568,0.3977,0,1439.41,0.0227,57,61,187.0,0,Informal,0.45
0,0,1,58,4366.17,0.1752,0.1685,0.5426,0.2893,1,7012.41,0.0529,33,27,92.0,0,CLT,0.2695
