beneficio_ativo,tempo_beneficio_meses,emprego_ativo,tempo_emprego_meses,renda_media_6m,coef_var_renda,pct_meses_saldo_neg_6m,utilizacao_cartao,pct_minimo_pago_3m,num_faturas_vencidas_3m,endividamento_total,parcelas_renda,DPD_max_12m,idade,tempo_rel_banco_meses,default90
0,0,1,20,1655.15,0.611,0.592,0.783,0.589,1,15154.07,0.47,0,24,7,1
1,24,0,0,4231.61,0.136,0.135,0.703,0.262,0,48973.87,0.424,0,70,36,0
0,0,0,0,1205.3,0.521,0.595,0.497,0.291,1,5292.87,0.435,0,62,19,0
0,0,1,29,3495.13,0.171,0.239,0.259,0.055,0,19377.08,0.399,0,47,11,0
0,0,0,0,1999.86,0.568,0.594,0.158,0.114,1,6221.47,0.347,51,47,1,0
1,95,0,0,4124.32,0.271,0.33,0.076,0.047,1,31873.55,0.238,20,76,64,0
0,0,0,0,3666.93,0.628,0.818,0.74,0.625,2,189223.05,0.854,14,23,2,0
0,0,1,3,1574.61,0.096,0.154,0.654,0.287,1,11212.5,0.323,0,65,36,0
0,0,1,8,846.49,0.367,0.353,0.662,0.267,2,4798.98,0.373,0,31,29,0
0,0,1,74,2508.88,0.654,0.744,0.557,0.408,0,37558.22,0.587,0,24,1,0
0,0,0,0,2177.92,0.19,0.263,0.437,0.182,0,22525.93,0.419,0,53,16,0
0,0,1,20,2548.95,0.538,0.603,0.529,0.463,2,13920.74,0.332,0,84,43,0
1,50,0,0,9466.62,0.367,0.536,0.615,0.355,2,21301.91,0.31,0,68,44,0
0,0,1,3,3329.47,0.147,0.215,0.407,0.204,1,37802.87,0.382,0,69,33,0
1,83,0,0,3038.17,0.393,0.59,0.495,0.303,2,16513.29,0.281,0,66,51,0
1,6,0,0,1182.58,0.189,0.273,0.077,0.194,2,20164.51,0.456,22,71,30,0
0,0,0,0,1388.25,0.588,0.644,0.13,0.178,0,44054.53,0.697,6,52,39,0
0,0,1,44,3490.62,0.266,0.452,0.898,0.511,0,53540.75,0.422,0,26,10,0
0,0,0,0,2100.04,0.617,0.678,0.237,0.188,3,84858.98,0.807,0,75,58,0
1,31,0,0,2421.68,0.165,0.367,0.348,0.166,1,56501.23,0.623,0,48,22,1
1,93,1,5,6089.07,0.169,0.259,0.698,0.28,3,53268.33,0.322,0,52,11,0
1,16,0,0,1594.69,0.094,0.16,0.55,0.303,1,9273.95,0.197,0,43,5,0
0,0,1,15,3141.47,0.255,0.321,0.524,0.371,2,20179.58,0.356,0,30,17,0
0,0,1,32,2032.55,0.37,0.559,0.554,0.211,2,58062.79,0.481,0,81,53,1
0,0,0,0,7074.8,0.579,0.593,0.681,0.52,2,125233.53,0.377,124,71,45,0
0,0,0,0,1255.12,0.52,0.641,0.47,0.223,3,7951.29,0.415,0,61,30,0
0,0,1,39,7555.7,0.279,0.369,0.651,0.387,1,39325.04,0.361,0,45,22,0
1,68,0,0,2088.87,0.311,0.369,0.313,0.214,2,16541.77,0.548,16,73,30,0
1,46,0,0,1721.61,0.429,0.401,0.091,0.114,0,14674.4,0.264,0,55,18,0
0,0,0,0,1778.88,0.528,0.576,0.2,0.088,1,39439.57,0.523,0,48,32,1
0,0,1,21,1485.6,0.271,0.3,0.696,0.356,0,9723.79,0.434,20,48,33,0
0,0,0,0,1165.48,0.394,0.576,0.557,0.294,0,35470.97,0.61,4,33,1,0
